no,teamA, teamB, scoreA, scoreB,
1135,Spain  7s, Japan 7s, 7, 12, 
1136,Spain  7s, Mexico 7s, 46, 0, 
1137,Australia  7s, Ireland 7s, 29, 0, 
1138,England  7s, Japan 7s, 31, 12, 
1139,Wales  7s, Russia 7s, 28, 7, 
1140,South Africa  7s, Japan 7s, 26, 0, 
1141,Scotland  7s, Russia 7s, 12, 17, 
1142,New Zealand  7s, Kenya 7s, , , 
1143,New Zealand  7s, Zimbabwe 7s, 59, 0, 
1144,Australia  7s, USA 7s, 19, 14, 
1145,Argentina  7s, France 7s, 5, 24, 
1146,Japan  7s, Canada 7s, 5, 21, 
1147,England  7s, Wales 7s, 26, 10, 
1148,Samoa  7s, Kenya 7s, 35, 12, 
1149,Fiji  7s, Canada 7s, 19, 10, 
1150,France  7s, Canada 7s, 26, 17, 
1151,Australia  7s, Kenya 7s, 41, 7, 
1152,Loser M19 Loser M20, , , 
1153,Scotland  7s, Papua New Guinea 7s, 26, 12, 
1154,Fiji  7s, Russia 7s, 24, 0, 
1155,Australia  7s, England 7s, 17, 12, 
1156,Portugal  7s, Russia 7s, 24, 7, 
1157,South Africa  7s, Uruguay 7s, 35, 0, 
1158,Canada  7s, Spain 7s, , , 
1159,France  7s, Japan 7s, , , 
1160,Fiji  7s, Australia 7s, , , 
1161,Australia  7s, Portugal 7s, 24, 5, 
1162,Samoa  7s, Wales 7s, 12, 17, 
1163,New Zealand  7s, France 7s, 31, 0, 
1164,Canada  7s, England 7s, 17, 5, 
1165,Samoa  7s, Australia 7s, 14, 12, 
1166,Fiji  7s, Brazil 7s, 31, 10, 
1167,Fiji  7s, Ireland 7s, 12, 19, 
1168,Canada  7s, Scotland 7s, 5, 52, 
1169,England  7s, Kenya 7s, 19, 12, 
1170,Portugal  7s, USA 7s, 26, 21, 
1171,Australia  7s, Scotland 7s, 24, 21, 
1172,New Zealand  7s, Fiji 7s, 33, 19, 
1173,France  7s, Ireland 7s, 24, 14, 
1174,Argentina  7s, Tonga 7s, 34, 12, 
1175,United Arab Emirates  7s, Zambia 7s, 26, 59, 
1176,South Africa  7s, England 7s, 26, 12, 
1177,South Africa  7s, France 7s, 12, 14, 
1178,Spain  7s, Kenya 7s, 24, 7, 
1179,England  7s, Hong Kong 7s, 38, 0, 
1180,USA  7s, New Zealand 7s, 14, 21, 
1181,South Africa  7s, Fiji 7s, 24, 19, 
1182,Loser M27 Loser M28, , , 
1183,Argentina  7s, United Arab Emirates 7s, 67, 0, 
1184,Fiji  7s, Australia 7s, 14, 24, 
1185,France  7s, Russia 7s, 10, 5, 
1186,England  7s, Australia 7s, 10, 31, 
1187,Scotland  7s, Wales 7s, 19, 21, 
1188,Fiji  7s, South Africa 7s, 12, 5, 
1189,South Africa  7s, Fiji 7s, 12, 7, 
1190,South Africa  7s, France 7s, 33, 14, 
1191,Japan  7s, Chile 7s, 19, 7, 
1192,Australia  7s, Japan 7s, 26, 5, 
1193,Fiji  7s, Canada 7s, 26, 14, 
1194,Samoa  7s, Canada 7s, 31, 5, 
1195,Brazil  7s, France 7s, 7, 33, 
1196,USA  7s, Chile 7s, 33, 19, 
1197,Australia  7s, Papua New Guinea 7s, 45, 7, 
